X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
"-7,397,891,260,886","4,076,850,791,497",2C-PM-1013-08,02C,PM,10132018,8,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,POINT (-73.9789126088606 40.7685079149692)
"-7,397,718,439,122","4,077,236,663,821",7B-AM-1008-01,07B,AM,10082018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9771843912229 40.77236663821251)
"-7,396,465,974,521","4,078,276,982,207",22F-AM-1007-07,22F,AM,10072018,7,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,3,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,alert & aware,POINT (-73.9646597452128 40.7827698220703)
"-7,397,826,438,139","4,077,170,860,908",6A-AM-1006-04,06A,AM,10062018,4,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,curious,POINT (-73.97826438139 40.7717086090782)
"-7,397,851,333,014","4,077,182,602,883",6A-PM-1012-05,06A,PM,10122018,5,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9785133301426 40.7718260288338)
"-7,395,433,237,869","4,079,430,865,304",37G-PM-1007-03,37G,PM,10072018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,15,,FALSE,FALSE,FALSE,TRUE,FALSE,"lying on belly on branch,eating big nut",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9543323786888 40.7943086530436)
"-7,397,122,567,653","4,077,609,428,725",13D-PM-1018-13,13D,PM,10182018,13,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White","Gray, Cinnamon & White selected as Primary. White selected as Highlights. Made executive adjustments.",Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,digging,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9712256765283 40.7760942872488)
"-7,395,933,528,062","407,918,150,568",33E-AM-1014-02,33E,AM,10142018,2,Juvenile,Black,,Black+,,Above Ground,10,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9593352806175 40.7918150568046)
"-7,397,274,886,407","4,077,819,167,806",14B-PM-1014-06,14B,PM,10142018,6,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,watching me,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,skittish,POINT (-73.9727488640736 40.7781916780621)
"-7,397,428,045,524","4,077,071,676,719",7E-PM-1013-05,07E,PM,10132018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,On rocks,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9742804552383 40.7707167671865)
"-7,397,693,194,503","4,077,438,835,762",9A-AM-1013-11,09A,AM,10132018,11,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,foot of tree,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9769319450348 40.7743883576247)
