X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
"-7,395,613,449,379","4,079,408,238,841",37F-PM-1014-03,37F,PM,10142018,3,,,,+,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9561344937861 40.7940823884086)
"-7,396,885,746,911","4,078,378,252,084",21B-AM-1019-04,21B,AM,10192018,4,,,,+,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9688574691102 40.7837825208444)
"-7,397,428,114,849","4,077,553,361,908",11B-PM-1014-08,11B,PM,10142018,8,,Gray,,Gray+,,Above Ground,10,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.97428114848522 40.775533619083)
"-7,395,964,139,039","407,903,128,889",32E-PM-1017-14,32E,PM,10172018,14,Adult,Gray,,Gray+,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9596413903948 40.7903128889029)
"-7,397,026,764,726","4,077,621,268,549",13E-AM-1017-05,13E,AM,10172018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,on tree stump,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9702676472613 40.7762126854894)
"-7,396,836,135,162","4,077,259,088,475",11H-AM-1010-03,11H,AM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9683613516225 40.7725908847499)
"-7,395,412,017,898","4,079,318,117,011",36H-AM-1010-02,36H,AM,10102018,2,Adult,Gray,,Gray+,just outside hectare,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9541201789795 40.7931811701082)
"-7,395,826,943,123","4,079,173,678,203",33F-AM-1008-02,33F,AM,10082018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9582694312289 40.7917367820255)
"-7,396,742,859,553","4,078,297,239,197",21C-PM-1006-01,21C,PM,10062018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,POINT (-73.9674285955293 40.7829723919744)
"-7,397,225,001,968","407,742,879,599",11D-AM-1010-03,11D,AM,10102018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,30,,FALSE,FALSE,TRUE,FALSE,FALSE,grooming,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9722500196844 40.7742879599026)
"-7,396,950,635,353","4,078,235,076,782",20B-PM-1013-05,20B,PM,10132018,5,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9695063535333 40.7823507678183)
"-7,396,400,328,265","4,078,203,098,254",22F-PM-1014-06,22F,PM,10142018,6,Adult,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9640032826529 40.7820309825448)
"-7,395,321,705,049","40,791,966,974",36I-PM-1007-01,36I,PM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9532170504865 40.7919669739962)
"-7,397,686,036,307","407,702,795,905",5C-PM-1010-09,05C,PM,10102018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9768603630674 40.7702795904962)
"-739,706,105,897","4,076,981,248,215",7H-AM-1006-05,07H,AM,10062018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,10,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9706105896967 40.7698124821507)
"-7,397,037,817,262","4,077,875,261,303",16C-PM-1018-03,16C,PM,10182018,3,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Above Ground,6,,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9703781726172 40.7787526130321)
"-7,397,039,252,105","407,765,032,005",14E-AM-1008-23,14E,AM,10082018,23,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,walking,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9703925210471 40.7765032004992)
"-7,396,381,794,397","4,079,241,732,639",32A-PM-1013-03,32A,PM,10132018,3,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9638179439747 40.7924173263904)
"-7,395,840,709,747","4,079,138,124,906",33F-AM-1008-01,33F,AM,10082018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,moving slowly,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9584070974734 40.7913812490557)
"-7,396,711,306,801","4,077,848,597,002",17F-AM-1007-07,17F,AM,10072018,7,Adult,Gray,White,Gray+White,,Above Ground,24,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9671130680114 40.7784859700171)
"-739,649,866,016","4,077,649,296,945",16I-AM-1008-01,16I,AM,10082018,1,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9649866016038 40.7764929694457)
"-7,396,706,285,582","4,077,349,914,209",12I-AM-1013-01,12I,AM,10132018,1,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,on tree roots,FALSE,FALSE,FALSE,FALSE,FALSE,sitting,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,POINT (-73.9670628558161 40.77349914209411)
"-7,395,873,659,311","4,079,085,243,706",32F-PM-1008-07,32F,PM,10082018,7,Adult,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.958736593111 40.7908524370626)
"-7,396,717,867,153","4,078,673,527,912",25A-AM-1013-04,25A,AM,10132018,4,,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9671786715256 40.7867352791232)
"-7,396,929,432,916","4,077,695,361,025",15E-AM-1013-01,15E,AM,10132018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9692943291611 40.7769536102488)
"-7,395,400,541,005","4,079,524,459,998",39G-PM-1013-06,39G,PM,10132018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9540054100539 40.7952445999836)
"-7,395,765,301,573","4,078,686,594,904",29I-PM-1007-01,29I,PM,10072018,1,,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9576530157255 40.7868659490397)
"-7,397,380,332,575","4,077,118,468,942",7E-AM-1006-02,07E,AM,10062018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,under a tree,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9738033257473 40.7711846894166)
"-739,704,402,681","4,077,989,656,212",17C-PM-1013-05,17C,PM,10132018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,eating (ate upside down on a tree — #jealous),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9704402681017 40.77989656212031)
"-7,397,569,760,767","4,077,538,973,319",10A-PM-1014-01,10A,PM,10142018,1,Adult,Gray,"Black, Cinnamon, White","Gray+Black, Cinnamon, White",Gray & White selected as Primary. Black & Cinnamon selected as Highlights. Made executive adjustments.,Ground Plane,FALSE,in b/w trees,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9756976076707 40.7753897331918)
"-7,396,624,389,967","4,078,903,818,094",28A-PM-1007-05,28A,PM,10072018,5,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,POINT (-73.9662438996681 40.7890381809441)
"-7,396,431,539,204","407,820,818,517",22F-PM-1014-05,22F,PM,10142018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9643153920428 40.7820818516957)
"-7,397,420,734,529","4,077,579,573,805",12B-AM-1007-01,12B,AM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9742073452913 40.7757957380463)
"-7,397,161,470,616","4,078,139,110,362",18A-PM-1018-01,18A,PM,10182018,1,Adult,Gray,,Gray+,,Above Ground,30,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9716147061553 40.7813911036179)
"-7,395,657,003,862","4,079,025,610,009",33H-AM-1019-02,33H,AM,10192018,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,wrestling with mother,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9565700386162 40.7902561000937)
"-7,395,354,106,571","4,079,287,117,601",36H-PM-1008-02,36H,PM,10082018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9535410657077 40.79287117600611)
"-7,396,391,592,984","407,891,774,638",29C-AM-1007-06,29C,AM,10072018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9639159298446 40.7891774637988)
"-7,395,795,643,386","407,959,337,795",38C-PM-1014-09,38C,PM,10142018,9,Adult,Black,,Black+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,POINT (-73.9579564338627 40.7959337795027)
"-7,395,746,480,975","4,078,925,084,286",31H-PM-1008-02,31H,PM,10082018,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,8,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9574648097543 40.78925084286221)
"-7,397,025,267,533","4,077,059,995,882",8H-AM-1017-06,08H,AM,10172018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,6,,FALSE,TRUE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.970252675331 40.77059995882221)
"-7,395,796,459,404","4,079,186,134,984",34F-AM-1007-01,34F,AM,10072018,1,Adult,Gray,White,Gray+White,,Above Ground,25,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9579645940414 40.7918613498407)
"-7,396,732,534,173","407,749,505,253",13H-PM-1010-02,13H,PM,10102018,2,Adult,Gray,,Gray+,,Above Ground,5,tree,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9673253417305 40.7749505252981)
"-7,395,959,331,954","4,079,058,473,324",32E-AM-1007-13,32E,AM,10072018,13,Adult,Gray,,Gray+,,Above Ground,50,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9595933195409 40.7905847332369)
"-7,396,022,221,167","4,079,377,969,942",35C-AM-1007-05,35C,AM,10072018,5,Adult,Gray,,Gray+,,Above Ground,4,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9602222116708 40.793779699421)
"-7,396,026,099,208","4,079,428,830,456",35C-PM-1013-03,35C,PM,10132018,3,,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9602609920814 40.79428830455661)
"-7,396,806,350,709","4,077,924,987,365",17E-AM-1017-05,17E,AM,10172018,5,Adult,Black,,Black+,,Above Ground,10,Branch,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9680635070949 40.779249873647)
"-7,398,016,664,354","4,076,869,053,392",2B-PM-1013-01,02B,PM,10132018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,running (with nut),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9801666435401 40.7686905339212)
"-7,396,756,343,269","4,078,134,773,525",19D-AM-1007-01,19D,AM,10072018,1,Juvenile,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,fenced off area can't approach,POINT (-73.9675634326877 40.7813477352507)
"-7,395,849,706,432","4,079,828,863,487",40B-AM-1019-03,40B,AM,10192018,3,Juvenile,Gray,White,Gray+White,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,POINT (-73.9584970643213 40.7982886348696)
"-7,397,602,982,412","4,076,819,543,669",3E-PM-1008-07,03E,PM,10082018,7,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9760298241178 40.7681954366911)
"-7,395,688,021,498","4,079,723,991,338",39C-PM-1006-01,39C,PM,10062018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9568802149818 40.7972399133816)
"-7,397,246,424,364","4,076,905,264,411",6G-AM-1008-02,06G,AM,10082018,2,Juvenile,Gray,,Gray+,,Ground Plane,FALSE,bush,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9724642436394 40.7690526441109)
"-7,396,901,758,385","40,776,043,272",14F-AM-1007-05,14F,AM,10072018,5,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9690175838534 40.7760432720017)
"-7,397,040,828,214","407,690,280,986",6I-PM-1013-06,06I,PM,10132018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,playing with #5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,POINT (-73.9704082821356 40.7690280985956)
"-7,396,849,107,123","40,776,881,164",15F-PM-1010-05,15F,PM,10102018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9684910712272 40.7768811640021)
"-7,397,686,748,129","4,077,352,326,489",8B-PM-1012-02,08B,PM,10122018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,hiding in bushes,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9768674812942 40.7735232648872)
"-7,397,970,848,666","4,076,988,852,413",3A-PM-1017-06,03A,PM,10172018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9797084866613 40.7698885241349)
"-7,395,281,926,798","4,079,231,304,028",36I-AM-1017-02,36I,AM,10172018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,Cinnamon stripe on back,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.952819267977 40.7923130402793)
"-7,397,456,300,385","4,076,926,026,287",5E-AM-1008-06,05E,AM,10082018,6,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,POINT (-73.9745630038492 40.7692602628745)
"-7,395,950,023,395","4,079,033,657,887",32E-PM-1017-13,32E,PM,10172018,13,Adult,Gray,,Gray+,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9595002339508 40.7903365788694)
"-7,397,418,249,923","407,689,486,658",5F-PM-1007-03,05F,PM,10072018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,hiding nut,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9741824992294 40.7689486657963)
"-7,397,492,439,012","4,077,613,935,518",11B-PM-1014-05,11B,PM,10142018,5,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9749243901189 40.7761393551781)
"-7,396,838,132,556","4,077,801,434,438",16E-PM-1018-06,16E,PM,10182018,6,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,On a rock,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.968381325559 40.7780143443779)
"-7,396,942,403,275","4,077,558,981,267",13F-AM-1007-02,13F,AM,10072018,2,Adult,Cinnamon,White,Cinnamon+White,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.96942403275091 40.7755898126674)
"-739,689,000,979","4,078,283,647,352",20B-PM-1013-10,20B,PM,10132018,10,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,drank from a pond of rain water,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9689000978955 40.7828364735236)
"-7,398,045,288,675","407,696,753,656",3A-PM-1017-05,03A,PM,10172018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9804528867547 40.76967536559861)
"-7,395,762,459,925","40,787,386,251",29H-PM-1006-01,29H,PM,10062018,1,Adult,Gray,,Gray+,,Above Ground,50,,FALSE,FALSE,TRUE,FALSE,FALSE,sitting,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9576245992455 40.7873862510001)
"-7,396,660,079,356","4,078,450,981,316",23C-PM-1014-03,23C,PM,10142018,3,Adult,Gray,,Gray+,,Above Ground,8,,FALSE,TRUE,FALSE,FALSE,FALSE,chasing (#4 across trees),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9666007935638 40.7845098131567)
"-7,396,148,483,609","4,079,226,455,219",33C-PM-1007-03,33C,PM,10072018,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.96148483609 40.7922645521905)
"-7,395,466,541,841","4,079,476,392,415",38G-PM-1020-09,38G,PM,10202018,9,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9546654184146 40.7947639241491)
"-7,396,671,140,272","4,077,688,047,025",16G-PM-1017-01,16G,PM,10172018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9667114027214 40.7768804702473)
"-7,395,300,355,646","4,079,218,224,576",36I-PM-1007-07,36I,PM,10072018,7,Adult,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9530035564643 40.7921822457613)
"-7,396,156,965,777","4,079,512,786,224",35A-AM-1014-03,35A,AM,10142018,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9615696577673 40.7951278622399)
"-73,964,474,836","4,078,838,401,047",28C-PM-1006-01,28C,PM,10062018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,gathering acorns,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,gnd to tree,POINT (-73.964474836001 40.7883840104749)
"-7,396,107,055,929","4,079,148,296,611",32D-AM-1013-06,32D,AM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,POINT (-73.9610705592868 40.7914829661051)
"-7,396,884,544,836","4,078,453,012,882",22A-AM-1008-05,22A,AM,10082018,5,Adult,Gray,White,Gray+White,,Above Ground,3,trash can,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9688454483585 40.7845301288163)
"-7,395,782,371,684","407,980,959,471",40B-PM-1014-06,40B,PM,10142018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9578237168359 40.7980959471034)
"-7,396,882,712,024","4,078,097,194,453",19C-PM-1018-01,19C,PM,10182018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9688271202401 40.7809719445309)
"-7,396,170,887,499","4,079,445,850,824",35A-PM-1013-06,35A,PM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9617088749928 40.7944585082367)
"-7,397,018,248,259","4,077,665,305,793",14E-AM-1008-09,14E,AM,10082018,9,Adult,Gray,,Gray+,,Ground Plane,FALSE,,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9701824825872 40.7766530579293)
"-7,396,764,104,975","407,766,043,513",15G-PM-1019-05,15G,PM,10192018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,4,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9676410497481 40.7766043512974)
