Dabov Specialty Coffee Sofia Iztok,https://maps.google.com/maps?vet=10CAAQoqAOahcKEwiIjMym26aUAxUAAAAAHQAAAAAQCA..i&channel=43&client=safari&pvq=Cg0vZy8xMXRzMmg4bXJuIgwKBmNvZmZlZRACGAM&lqi=CgZjb2ZmZWVI9J3Rp-C5gIAIWgwQABgAIgZjb2ZmZWWSAQ9jb2ZmZWVfcm9hc3RlcnM&fvr=1&cs=0&um=1&ie=UTF-8&fb=1&gl=bg&sa=X&ftid=0x40aa858edd44026d:0x186fba7cd36aaf6,7:00,19:00,☕☕☕,💪💪💪,🔌🔌
Izzy's Coffee and Brunch,https://maps.google.com/maps?vet=10CAAQoqAOahcKEwi44Kbk3qaUAxUAAAAAHQAAAAAQCA..i&channel=43&client=safari&pvq=Cg0vZy8xMWtiOGNudF9nIgsKBWNhZmVzEAIYAw&lqi=CgVjYWZlc0juz-mFqbGAgAhaDxAAIgVjYWZlcyoECAMQAJIBC2NvZmZlZV9zaG9w&fvr=1&cs=0&um=1&ie=UTF-8&fb=1&gl=bg&sa=X&ftid=0x40aa85772089c145:0xcddef3c413d72d7d,8:00,20:00,☕☕☕,💪💪,🔌🔌
LATE Café & Roastery,https://maps.google.com/maps?vet=10CAAQoqAOahcKEwi44Kbk3qaUAxUAAAAAHQAAAAAQHQ..i&channel=43&client=safari&pvq=Cg0vZy8xMXJmc2ozc2JfIgsKBWNhZmVzEAIYAw&lqi=CgVjYWZlc0jfwoeIt7eAgAhaERAAGAAiBWNhZmVzKgQIAxAAkgEPY29mZmVlX3JvYXN0ZXJz&fvr=1&cs=0&um=1&ie=UTF-8&fb=1&gl=bg&sa=X&ftid=0x40aa851bbeb9cd15:0xb199ba4b34d9c0bd,10:00,20:00,☕☕☕,💪💪💪,🔌🔌🔌
Green Deli Cafe,https://maps.google.com/maps?vet=10CAAQoqAOahcKEwi46JeNgaeUAxUAAAAAHQAAAAAQDw..i&channel=43&client=safari&pvq=CgwvZy8xaGpncTBfeGciCgoEY2FmZRACGAM&lqi=CgRjYWZlSI7_gevBj4CACFoUEAAYACIEY2FmZSoECAMQADICYmeSAQRjYWZl&fvr=1&cs=0&um=1&ie=UTF-8&fb=1&gl=bg&sa=X&ftid=0x40aa84559e67afc9:0x3eeba438a6c4299,7:30,19:00,☕☕,💪💪💪,🔌🔌🔌
